video_id,comment,likes,published_at,group_comeback
jWQx2f-CErU,STREAAAAAM,3,2024-11-03T23:56:38Z,aespa_Whiplash
jWQx2f-CErU,60M this week. Lets do it.,1,2024-11-03T23:56:19Z,aespa_Whiplash
jWQx2f-CErU,happy 53M. Congrats. Lets go to 54M. Fighting.,3,2024-11-03T23:56:01Z,aespa_Whiplash
jWQx2f-CErU,Lets just hope this week aespa have another chance to win on the music shows.,5,2024-11-03T23:42:45Z,aespa_Whiplash
jWQx2f-CErU,É incrível como as partes da Ningning me arrepiam! 😮❤,5,2024-11-03T23:42:45Z,aespa_Whiplash
jWQx2f-CErU,Road to 53M this morning,3,2024-11-03T23:38:25Z,aespa_Whiplash
jWQx2f-CErU,Let's go 60M this week.,3,2024-11-03T23:38:09Z,aespa_Whiplash
jWQx2f-CErU,2:05 winter’s “uh” is the sexiest uh I ever heard in my whole life,4,2024-11-03T23:37:51Z,aespa_Whiplash
jWQx2f-CErU,lets go 53m,3,2024-11-03T23:30:25Z,aespa_Whiplash
jWQx2f-CErU,que adicción con este tema,6,2024-11-03T23:28:27Z,aespa_Whiplash
jWQx2f-CErU,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",5,2024-11-03T23:28:21Z,aespa_Whiplash
jWQx2f-CErU,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",5,2024-11-03T23:28:17Z,aespa_Whiplash
jWQx2f-CErU,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",4,2024-11-03T23:28:10Z,aespa_Whiplash
jWQx2f-CErU,52.983,5,2024-11-03T23:14:16Z,aespa_Whiplash
jWQx2f-CErU,1 hari naik 1 juta,6,2024-11-03T23:14:04Z,aespa_Whiplash
jWQx2f-CErU,Ningning tumben kamu ga bikin challenge sama jay park,6,2024-11-03T23:13:44Z,aespa_Whiplash
jWQx2f-CErU,❤❤❤,3,2024-11-03T22:48:28Z,aespa_Whiplash
jWQx2f-CErU,Whi Whiplash⚡️⚡️⚡️,5,2024-11-03T22:47:47Z,aespa_Whiplash
jWQx2f-CErU,"Let's talk about how every time we keep saying ""how are they gonna do better than that eta?"" And they always surprise us with one of the best music videos possible 
Only legends could pull this move",3,2024-11-03T22:39:58Z,aespa_Whiplash
jWQx2f-CErU,banger,3,2024-11-03T22:39:36Z,aespa_Whiplash
jWQx2f-CErU,960k,1,2024-11-03T22:19:41Z,aespa_Whiplash
jWQx2f-CErU,1:40 - 1:54  My favorite part,2,2024-11-03T22:18:38Z,aespa_Whiplash
jWQx2f-CErU,Happy 52.9M (7.12 am kst),2,2024-11-03T22:12:43Z,aespa_Whiplash
jWQx2f-CErU,It looks like BLΛƆKPIИK,0,2024-11-03T21:39:02Z,aespa_Whiplash
jWQx2f-CErU,11/4,1,2024-11-03T21:38:18Z,aespa_Whiplash
jWQx2f-CErU,Okay Aespa clap back to all this haters,2,2024-11-03T21:32:07Z,aespa_Whiplash
jWQx2f-CErU,Uh,2,2024-11-03T21:26:33Z,aespa_Whiplash
jWQx2f-CErU,Big flash,2,2024-11-03T21:26:30Z,aespa_Whiplash
jWQx2f-CErU,Winter ❤,1,2024-11-03T21:23:39Z,aespa_Whiplash
jWQx2f-CErU,Mis nobias si o ke 😅,2,2024-11-03T21:03:53Z,aespa_Whiplash
jWQx2f-CErU,Love it,3,2024-11-03T20:56:18Z,aespa_Whiplash
jWQx2f-CErU,"Aespa conquistando todo tipo de concepto, todo esto es arte",4,2024-11-03T20:38:44Z,aespa_Whiplash
jWQx2f-CErU,mys come on str34m,2,2024-11-03T20:35:42Z,aespa_Whiplash
jWQx2f-CErU,from #8 to #21,1,2024-11-03T20:35:13Z,aespa_Whiplash
jWQx2f-CErU,4 gen leaders,3,2024-11-03T19:52:54Z,aespa_Whiplash
jWQx2f-CErU,Everyone Knows Why We Are Here,2,2024-11-03T19:33:29Z,aespa_Whiplash
jWQx2f-CErU,Omg 😳,0,2024-11-03T19:28:01Z,aespa_Whiplash
jWQx2f-CErU,lagunya bagus,0,2024-11-03T18:59:10Z,aespa_Whiplash
jWQx2f-CErU,Malam gini streamingnya MYs gacor bener dah,4,2024-11-03T18:58:25Z,aespa_Whiplash
jWQx2f-CErU,ICONIC,2,2024-11-03T18:32:42Z,aespa_Whiplash
jWQx2f-CErU,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,0,2024-11-03T18:32:33Z,aespa_Whiplash
jWQx2f-CErU,Addicted as usual ❤❤❤,0,2024-11-03T18:31:07Z,aespa_Whiplash
jWQx2f-CErU,wow this song and mv is just perfect. everyone shined so incredibly bright.,3,2024-11-03T18:21:27Z,aespa_Whiplash
jWQx2f-CErU,"With each comeback, they boldly introduce a completely new concept, always staying fresh and pushing their boundaries.
2024 is truly Aespa's year.",24,2024-11-03T18:18:52Z,aespa_Whiplash
jWQx2f-CErU,Midzy here to support!!! Let's get 53M!!! Whiplash x gold!!,2,2024-11-03T18:15:11Z,aespa_Whiplash
jWQx2f-CErU,This is Haneuls era fr💅✨️,1,2024-11-03T18:08:13Z,aespa_Whiplash
jWQx2f-CErU,AESPA WORLD DOMINION,2,2024-11-03T18:02:28Z,aespa_Whiplash
jWQx2f-CErU,muito bom😍👏,1,2024-11-03T17:48:12Z,aespa_Whiplash
jWQx2f-CErU,the concept of this fits aespa so well. the beat is so cool!! giselles pink hair is so pretty! i love this song sm 🖤🩶🤍,17,2024-11-03T17:36:37Z,aespa_Whiplash
jWQx2f-CErU,52646 sebelum besok pagi dah 53 juta yuk,1,2024-11-03T17:20:33Z,aespa_Whiplash
jWQx2f-CErU,mama a girl behind you,2,2024-11-03T17:18:09Z,aespa_Whiplash
jWQx2f-CErU,"this might be aespa’s best music video, yet; the visuals and outfits are everythinggg😍",64,2024-11-03T17:08:07Z,aespa_Whiplash
jWQx2f-CErU,52 Million !,2,2024-11-03T17:01:02Z,aespa_Whiplash
jWQx2f-CErU,"2020: BLACK MAMBA 
2021:NEXT LEVEL
2021:SAVAGE 
2022:GIRLS 
2023:SPICY 
2023:DRAMA
2024:SUPERNOVA
2024:ARMAGGEDON
2024:WHIPLASH 
Hits",5,2024-11-03T16:49:40Z,aespa_Whiplash
jWQx2f-CErU,52.6,1,2024-11-03T16:46:08Z,aespa_Whiplash
jWQx2f-CErU,ONE LOOK GIVE A WHIPLASH,2,2024-11-03T16:44:51Z,aespa_Whiplash
jWQx2f-CErU,São as fodonas da 4 geração,3,2024-11-03T16:32:38Z,aespa_Whiplash
jWQx2f-CErU,can someone tell me who is who in the different hair parts? I know pink hair is Giselle and that short black hair is Winter but other than that idk who is who with their hair changing in this mv 😭😭,1,2024-11-03T16:32:06Z,aespa_Whiplash
jWQx2f-CErU,1:58,2,2024-11-03T16:20:28Z,aespa_Whiplash
jWQx2f-CErU,The NSX tho...,2,2024-11-03T16:16:47Z,aespa_Whiplash
jWQx2f-CErU,"The LIMITED EDITION SHIRT is SERVING! But, I think the quality of the photobook could be improved. I got mine with a scratch-like small air bubble on the cover and some visible light scratches as well which somewhat affect the overall appearance of the photobook. The first page looks like it’s about to fall off and has a lot of blot-like marks on the stapler area of the pages.",2,2024-11-03T16:15:39Z,aespa_Whiplash
jWQx2f-CErU,"EVERYONE LET'S VOTES AESPA HARDER FOR MAMA 2024,KGMA,MMA, AND MORE MANY OTHERS .........🙏💪",3,2024-11-03T16:05:34Z,aespa_Whiplash
jWQx2f-CErU,HOPE AESPA GET MANY AWARDS DAESANGS IN MAMA 2024💪,5,2024-11-03T16:05:14Z,aespa_Whiplash
jWQx2f-CErU,EVERYONE LET'S STRMING AT SPOTIFY HARDER AND YOUTUBE HARDER PLEASE...🙏 💪,2,2024-11-03T16:04:14Z,aespa_Whiplash
jWQx2f-CErU,O GRUPO MAIS BABILÔNICO DO KPOP,3,2024-11-03T15:59:18Z,aespa_Whiplash
