video_id,comment,likes,published_at,group_comeback,is_english,cleaned_comment,processed_comment
jWQx2f-CErU,Splash,0,2026-03-13T15:47:28Z,aespa_Whiplash,True,splash,splash
jWQx2f-CErU,I'm ready for it (cb),1,2026-03-13T13:02:29Z,aespa_Whiplash,True,im ready for it cb,readi
jWQx2f-CErU,"the way I can immediately sense if the song is aespa or not is crazy, just the vibe they are giving are so... unique :)",0,2026-03-13T12:47:55Z,aespa_Whiplash,True,the way i can immediately sense if the song is aespa or not is crazy just the vibe they are giving are so unique,way immedi sens song aespa crazi vibe give uniqu
jWQx2f-CErU,aespa Comeback in May 2026,1,2026-03-13T10:06:35Z,aespa_Whiplash,True,aespa comeback in may,aespa comeback may
jWQx2f-CErU,aespa confirmed to comeback this May! oh they're about to eat once again!,1,2026-03-13T08:12:17Z,aespa_Whiplash,True,aespa confirmed to comeback this may oh theyre about to eat once again,aespa confirm comeback may theyr eat
jWQx2f-CErU,Here from Attitude.,0,2026-03-13T05:27:50Z,aespa_Whiplash,True,here from attitude,attitud
jWQx2f-CErU,Aspea been around since the 90s,1,2026-03-12T20:08:12Z,aespa_Whiplash,True,aspea been around since the s,aspea around sinc
jWQx2f-CErU,I still don't understand why it was not trending all over the globe,0,2026-03-12T16:18:45Z,aespa_Whiplash,True,i still dont understand why it was not trending all over the globe,still dont understand trend globe
jWQx2f-CErU,aespa we need that cb so bad,1,2026-03-12T12:58:24Z,aespa_Whiplash,True,aespa we need that cb so bad,aespa need bad
jWQx2f-CErU,I feel like we're all hungry for that aespa comeback😭,3,2026-03-12T12:57:46Z,aespa_Whiplash,True,i feel like were all hungry for that aespa comeback,feel like hungri aespa comeback
jWQx2f-CErU,Whiplash is 2024?!?…,1,2026-03-12T07:55:04Z,aespa_Whiplash,True,whiplash is,whiplash
jWQx2f-CErU,Who miss this golden era?,1,2026-03-12T03:28:14Z,aespa_Whiplash,True,who miss this golden era,miss golden era
jWQx2f-CErU,"Circle Digital Chart   2026 Weeks 10
#25 (+2)  Whiplash",1,2026-03-12T02:36:48Z,aespa_Whiplash,True,circle digital chart weeks whiplash,circl digit chart week whiplash
jWQx2f-CErU,the cvntiese song in this gen bruh idc,0,2026-03-11T20:37:30Z,aespa_Whiplash,True,the cvntiese song in this gen bruh idc,cvnties song gen bruh idc
jWQx2f-CErU,4 faces are the same.. So bore of Kpop😢😢No group can compare  Blackpink.,0,2026-03-11T16:07:26Z,aespa_Whiplash,True,faces are the same so bore of kpopno group can compare blackpink,face bore kpopno group compar blackpink
jWQx2f-CErU,"This is not a song, its literally a visual and fashion show.
smooth edits and posture are on its peak",10,2026-03-11T15:45:28Z,aespa_Whiplash,True,this is not a song its literally a visual and fashion show smooth edits and posture are on its peak,song liter visual fashion show smooth edit postur peak
jWQx2f-CErU,Getting recomended in 2026... Youtube count your days,2,2026-03-11T06:18:37Z,aespa_Whiplash,True,getting recomended in youtube count your days,get recomend youtub count day
jWQx2f-CErU,Similar to Everglow 😮,0,2026-03-11T02:09:18Z,aespa_Whiplash,True,similar to everglow,similar everglow
jWQx2f-CErU,One of the best mvs,1,2026-03-10T15:19:59Z,aespa_Whiplash,True,one of the best mvs,one best mv
jWQx2f-CErU,Whiplash is classic❤,1,2026-03-10T15:18:53Z,aespa_Whiplash,True,whiplash is classic,whiplash classic
jWQx2f-CErU,this is their best song by far,4,2026-03-10T14:14:02Z,aespa_Whiplash,True,this is their best song by far,best song far
jWQx2f-CErU,"I love aespa for their creativity, for me they are the best girl group, they are very hardworking, but at the same time their work and albums are very high quality",3,2026-03-10T03:04:58Z,aespa_Whiplash,True,i love aespa for their creativity for me they are the best girl group they are very hardworking but at the same time their work and albums are very high quality,love aespa creativ best girl group hardwork time work album high qualiti
jWQx2f-CErU,It's giving kinda like dress to impress vibes it's just a fashion runway,3,2026-03-10T00:52:36Z,aespa_Whiplash,True,its giving kinda like dress to impress vibes its just a fashion runway,give kinda like dress impress vibe fashion runway
jWQx2f-CErU,This is definitely the most iconic song I heard in kpop after a loooooooong time....,25,2026-03-09T18:40:19Z,aespa_Whiplash,True,this is definitely the most iconic song i heard in kpop after a loooooooong time,definit icon song heard kpop loooooooong time
