comeback,raw_text,cleaned_text,label,source
aespa_Whiplash,STREAAAAAM,streaaaaam,?,youtube
aespa_Whiplash,60M this week. Lets do it.,week let,?,youtube
aespa_Whiplash,happy 53M. Congrats. Lets go to 54M. Fighting.,happi congrat let go fight,?,youtube
aespa_Whiplash,Lets just hope this week aespa have another chance to win on the music shows.,let hope week aespa anoth chanc win music show,?,youtube
aespa_Whiplash,É incrível como as partes da Ningning me arrepiam! 😮❤,incrvel como part da ningn arrepiam,?,youtube
aespa_Whiplash,Road to 53M this morning,road morn,?,youtube
aespa_Whiplash,Let's go 60M this week.,let go week,?,youtube
aespa_Whiplash,2:05 winter’s “uh” is the sexiest uh I ever heard in my whole life,winter uh sexiest uh ever heard whole life,?,youtube
aespa_Whiplash,lets go 53m,let go,?,youtube
aespa_Whiplash,que adicción con este tema,que adiccin con est tema,?,youtube
aespa_Whiplash,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",aespa aespa fan watch time watch second,?,youtube
aespa_Whiplash,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",aespa aespa fan watch time watch second,?,youtube
aespa_Whiplash,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",aespa aespa fan watch time watch second,?,youtube
aespa_Whiplash,52.983,,?,youtube
aespa_Whiplash,1 hari naik 1 juta,hari naik juta,?,youtube
aespa_Whiplash,Ningning tumben kamu ga bikin challenge sama jay park,ningn tumben kamu ga bikin challeng sama jay park,?,youtube
aespa_Whiplash,❤❤❤,,?,youtube
aespa_Whiplash,Whi Whiplash⚡️⚡️⚡️,whi whiplash,?,youtube
aespa_Whiplash,"Let's talk about how every time we keep saying ""how are they gonna do better than that eta?"" And they always surprise us with one of the best music videos possible 
Only legends could pull this move",let talk everi time keep say gonna better eta alway surpris us one best music video possibl legend could pull move,?,youtube
aespa_Whiplash,banger,banger,?,youtube
aespa_Whiplash,960k,k,?,youtube
aespa_Whiplash,1:40 - 1:54  My favorite part,favorit part,?,youtube
aespa_Whiplash,Happy 52.9M (7.12 am kst),happi kst,?,youtube
aespa_Whiplash,It looks like BLΛƆKPIИK,look like blkpik,?,youtube
aespa_Whiplash,11/4,,?,youtube
aespa_Whiplash,Okay Aespa clap back to all this haters,okay aespa clap back hater,?,youtube
aespa_Whiplash,Uh,uh,?,youtube
aespa_Whiplash,Big flash,big flash,?,youtube
aespa_Whiplash,Winter ❤,winter,?,youtube
aespa_Whiplash,Mis nobias si o ke 😅,mi nobia si ke,?,youtube
aespa_Whiplash,Love it,love,?,youtube
aespa_Whiplash,"Aespa conquistando todo tipo de concepto, todo esto es arte",aespa conquistando todo tipo de concepto todo esto es art,?,youtube
aespa_Whiplash,mys come on str34m,my come strm,?,youtube
aespa_Whiplash,from #8 to #21,,?,youtube
aespa_Whiplash,4 gen leaders,gen leader,?,youtube
aespa_Whiplash,Everyone Knows Why We Are Here,everyon know,?,youtube
aespa_Whiplash,Omg 😳,omg,?,youtube
aespa_Whiplash,lagunya bagus,lagunya bagu,?,youtube
aespa_Whiplash,Malam gini streamingnya MYs gacor bener dah,malam gini streamingnya my gacor bener dah,?,youtube
aespa_Whiplash,ICONIC,icon,?,youtube
aespa_Whiplash,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,,?,youtube
aespa_Whiplash,Addicted as usual ❤❤❤,addict usual,?,youtube
aespa_Whiplash,wow this song and mv is just perfect. everyone shined so incredibly bright.,wow song mv perfect everyon shine incred bright,?,youtube
aespa_Whiplash,"With each comeback, they boldly introduce a completely new concept, always staying fresh and pushing their boundaries.
2024 is truly Aespa's year.",comeback boldli introduc complet new concept alway stay fresh push boundari truli aespa year,?,youtube
aespa_Whiplash,Midzy here to support!!! Let's get 53M!!! Whiplash x gold!!,midzi support let get whiplash x gold,?,youtube
aespa_Whiplash,This is Haneuls era fr💅✨️,haneul era fr,?,youtube
aespa_Whiplash,AESPA WORLD DOMINION,aespa world dominion,?,youtube
aespa_Whiplash,muito bom😍👏,muito bom,?,youtube
aespa_Whiplash,the concept of this fits aespa so well. the beat is so cool!! giselles pink hair is so pretty! i love this song sm 🖤🩶🤍,concept fit aespa well beat cool gisel pink hair pretti love song sm,?,youtube
aespa_Whiplash,52646 sebelum besok pagi dah 53 juta yuk,sebelum besok pagi dah juta yuk,?,youtube
aespa_Whiplash,mama a girl behind you,mama girl behind,?,youtube
aespa_Whiplash,"this might be aespa’s best music video, yet; the visuals and outfits are everythinggg😍",might aespa best music video yet visual outfit everythinggg,?,youtube
aespa_Whiplash,52 Million !,million,?,youtube
aespa_Whiplash,"2020: BLACK MAMBA 
2021:NEXT LEVEL
2021:SAVAGE 
2022:GIRLS 
2023:SPICY 
2023:DRAMA
2024:SUPERNOVA
2024:ARMAGGEDON
2024:WHIPLASH 
Hits",black mamba next level savag girl spici drama supernova armaggedon whiplash hit,?,youtube
aespa_Whiplash,52.6,,?,youtube
aespa_Whiplash,ONE LOOK GIVE A WHIPLASH,one look give whiplash,?,youtube
aespa_Whiplash,São as fodonas da 4 geração,fodona da gerao,?,youtube
aespa_Whiplash,can someone tell me who is who in the different hair parts? I know pink hair is Giselle and that short black hair is Winter but other than that idk who is who with their hair changing in this mv 😭😭,someon tell differ hair part know pink hair gisel short black hair winter idk hair chang mv,?,youtube
aespa_Whiplash,1:58,,?,youtube
aespa_Whiplash,The NSX tho...,nsx tho,?,youtube
aespa_Whiplash,"The LIMITED EDITION SHIRT is SERVING! But, I think the quality of the photobook could be improved. I got mine with a scratch-like small air bubble on the cover and some visible light scratches as well which somewhat affect the overall appearance of the photobook. The first page looks like it’s about to fall off and has a lot of blot-like marks on the stapler area of the pages.",limit edit shirt serv think qualiti photobook could improv got mine scratchlik small air bubbl cover visibl light scratch well somewhat affect overal appear photobook first page look like fall lot blotlik mark stapler area page,?,youtube
aespa_Whiplash,"EVERYONE LET'S VOTES AESPA HARDER FOR MAMA 2024,KGMA,MMA, AND MORE MANY OTHERS .........🙏💪",everyon let vote aespa harder mama kgmamma mani other,?,youtube
aespa_Whiplash,HOPE AESPA GET MANY AWARDS DAESANGS IN MAMA 2024💪,hope aespa get mani award daesang mama,?,youtube
aespa_Whiplash,EVERYONE LET'S STRMING AT SPOTIFY HARDER AND YOUTUBE HARDER PLEASE...🙏 💪,everyon let strming spotifi harder youtub harder pleas,?,youtube
aespa_Whiplash,O GRUPO MAIS BABILÔNICO DO KPOP,grupo mai babilnico kpop,?,youtube
aespa_Whiplash,"DEEM STREAM CORRETAMENTE NO MV MYS, E DE STREAM NA MÚSICA NO SPOTIFY",deem stream corretament mv my e de stream na msica spotifi,?,youtube
aespa_Whiplash,FINALMENTE SAIU DAQUELES IRRITANTES 50M,finalment saiu daquel irritant,?,youtube
aespa_Whiplash,52563,,?,youtube
aespa_Whiplash,IM IN LOVE WITH THIS VIDEOOOO,im love videoooo,?,youtube
aespa_Whiplash,Every time someone likes my comment ill wathc it again,everi time someon like comment ill wathc,?,youtube
aespa_Whiplash,🔥🔥🔥🔥,,?,youtube
aespa_Whiplash,Ningning's part was addictive,ningn part addict,?,youtube
aespa_Whiplash,LOVE YOOU GISEEEEELEEEE 😩😩😩😩❤❤❤❤,love yoou giseeeeeleee,?,youtube
aespa_Whiplash,GISEELLEEEEEE AAAAAAAAAAAAA,giseelleeeee aaaaaaaaaaaaa,?,youtube
aespa_Whiplash,go aespa go,go aespa go,?,youtube
aespa_Whiplash,Sounds like xg song,sound like xg song,?,youtube
aespa_Whiplash,This masterpiece deserves much attention,masterpiec deserv much attent,?,youtube
aespa_Whiplash,whip whip whiplash,whip whip whiplash,?,youtube
aespa_Whiplash,Giselle for the leader of the free world!,gisel leader free world,?,youtube
aespa_Whiplash,Whip whiplash,whip whiplash,?,youtube
aespa_Whiplash,Coldest,coldest,?,youtube
aespa_Whiplash,❤❤❤❤❤,,?,youtube
aespa_Whiplash,All 0/10s,,?,youtube
aespa_Whiplash,Benım bıttı gold gecıyorum sımdıı,benm btt gold gecyorum smd,?,youtube
aespa_Whiplash,my olsaydım herkesın aksıne nıng2 ve karına shıplerdım gıbı,olsaydm herkesn aksn nng karna shplerdm gb,?,youtube
aespa_Whiplash,red velvet’ten sonra best konseptler yeminle,red velvetten sonra best konseptl yeminl,?,youtube
aespa_Whiplash,oyy bu konsept nedir yakıyo,oyi bu konsept nedir yakyo,?,youtube
aespa_Whiplash,"510k
jensetters here",k jensett,?,youtube
aespa_Whiplash,aespa sevmem yanı daha dogrusu cok dınlemem  ama sarkı guzel olmus :)),aespa sevmem yan daha dogrusu cok dnlemem ama sark guzel olmu,?,youtube
aespa_Whiplash,we need performance video SM!,need perform video sm,?,youtube
aespa_Whiplash,52.5M,,?,youtube
aespa_Whiplash,52496,,?,youtube
aespa_Whiplash,flashy,flashi,?,youtube
aespa_Whiplash,classy,classi,?,youtube
aespa_Whiplash,fancy,fanci,?,youtube
aespa_Whiplash,🫶🏼🫶🏼🫶🏼,,?,youtube
aespa_Whiplash,OMGGGGGGG,omggggggg,?,youtube
aespa_Whiplash,Masterpiece,masterpiec,?,youtube
aespa_Whiplash,FANCYYYY,fancyyyy,?,youtube
aespa_Whiplash,asığım bu sarkıyaaa,asm bu sarkyaaa,?,youtube
aespa_Whiplash,AESPAMMMM,aespammmm,?,youtube
aespa_Whiplash,day-1,day,?,youtube
aespa_Whiplash,h,h,?,youtube
