comeback,raw_text,cleaned_text,label,source
aespa_Whiplash,60M this week. Lets do it.,week let,neutral,youtube
aespa_Whiplash,happy 53M. Congrats. Lets go to 54M. Fighting.,happi congrat let go fight,positive,youtube
aespa_Whiplash,Lets just hope this week aespa have another chance to win on the music shows.,let hope week aespa anoth chanc win music show,neutral,youtube
aespa_Whiplash,Road to 53M this morning,road morn,neutral,youtube
aespa_Whiplash,Let's go 60M this week.,let go week,neutral,youtube
aespa_Whiplash,2:05 winter’s “uh” is the sexiest uh I ever heard in my whole life,winter uh sexiest uh ever heard whole life,neutral,youtube
aespa_Whiplash,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",aespa aespa fan watch time watch second,positive,youtube
aespa_Whiplash,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",aespa aespa fan watch time watch second,neutral,youtube
aespa_Whiplash,Whi Whiplash⚡️⚡️⚡️,whi whiplash,neutral,youtube
aespa_Whiplash,"Let's talk about how every time we keep saying ""how are they gonna do better than that eta?"" And they always surprise us with one of the best music videos possible 
Only legends could pull this move",let talk everi time keep say gonna better eta alway surpris us one best music video possibl legend could pull move,positive,youtube
aespa_Whiplash,Okay Aespa clap back to all this haters,okay aespa clap back hater,positive,youtube
aespa_Whiplash,Love it,love,positive,youtube
aespa_Whiplash,mys come on str34m,my come strm,neutral,youtube
aespa_Whiplash,from #8 to #21,,negative,youtube
aespa_Whiplash,Everyone Knows Why We Are Here,everyon know,neutral,youtube
aespa_Whiplash,Addicted as usual ❤❤❤,addict usual,positive,youtube
aespa_Whiplash,wow this song and mv is just perfect. everyone shined so incredibly bright.,wow song mv perfect everyon shine incred bright,positive,youtube
aespa_Whiplash,"With each comeback, they boldly introduce a completely new concept, always staying fresh and pushing their boundaries.
2024 is truly Aespa's year.",comeback boldli introduc complet new concept alway stay fresh push boundari truli aespa year,positive,youtube
aespa_Whiplash,Midzy here to support!!! Let's get 53M!!! Whiplash x gold!!,midzi support let get whiplash x gold,positive,youtube
aespa_Whiplash,This is Haneuls era fr💅✨️,haneul era fr,neutral,youtube
aespa_Whiplash,the concept of this fits aespa so well. the beat is so cool!! giselles pink hair is so pretty! i love this song sm 🖤🩶🤍,concept fit aespa well beat cool gisel pink hair pretti love song sm,positive,youtube
aespa_Whiplash,"this might be aespa’s best music video, yet; the visuals and outfits are everythinggg😍",might aespa best music video yet visual outfit everythinggg,positive,youtube
