group_comeback,comment,cleaned_comment,sentiment
aespa_Whiplash,60M this week. Lets do it.,m this week lets do it,neutral
aespa_Whiplash,happy 53M. Congrats. Lets go to 54M. Fighting.,happy m congrats lets go to m fighting,positive
aespa_Whiplash,Lets just hope this week aespa have another chance to win on the music shows.,lets just hope this week aespa have another chance to win on the music shows,neutral
aespa_Whiplash,Road to 53M this morning,road to m this morning,neutral
aespa_Whiplash,Let's go 60M this week.,lets go m this week,neutral
aespa_Whiplash,2:05 winter’s “uh” is the sexiest uh I ever heard in my whole life,winters uh is the sexiest uh i ever heard in my whole life,neutral
aespa_Whiplash,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",aespa aespa fans have watched it over times watched it for over seconds,positive
aespa_Whiplash,"++++++++++++++++++++++++++++++
★ aespa팬 100회 이상 시청!! 30초 이상 시청!! Aespa fans have watched it over 100 times!! Watched it for over 30 seconds!!------------------------------------------------------",aespa aespa fans have watched it over times watched it for over seconds,neutral
aespa_Whiplash,Whi Whiplash⚡️⚡️⚡️,whi whiplash,neutral
aespa_Whiplash,"Let's talk about how every time we keep saying ""how are they gonna do better than that eta?"" And they always surprise us with one of the best music videos possible 
Only legends could pull this move",lets talk about how every time we keep saying how are they gonna do better than that eta and they always surprise us with one of the best music videos possible only legends could pull this move,positive
aespa_Whiplash,Okay Aespa clap back to all this haters,okay aespa clap back to all this haters,positive
aespa_Whiplash,Love it,love it,positive
aespa_Whiplash,mys come on str34m,mys come on strm,neutral
aespa_Whiplash,from #8 to #21,from to,negative
aespa_Whiplash,Everyone Knows Why We Are Here,everyone knows why we are here,neutral
aespa_Whiplash,Addicted as usual ❤❤❤,addicted as usual,positive
aespa_Whiplash,wow this song and mv is just perfect. everyone shined so incredibly bright.,wow this song and mv is just perfect everyone shined so incredibly bright,positive
aespa_Whiplash,"With each comeback, they boldly introduce a completely new concept, always staying fresh and pushing their boundaries.
2024 is truly Aespa's year.",with each comeback they boldly introduce a completely new concept always staying fresh and pushing their boundaries is truly aespas year,positive
