@relation youtube_full

@attribute text STRING
@attribute @@class@@ {negative,neutral,positive}

@data
"week let",neutral
"happi congrat let go fight",neutral
"let hope week aespa anoth chanc win music show",neutral
"road morn",neutral
"let go week",neutral
"winter uh sexiest uh ever heard whole life",neutral
"aespa aespa fan watch time watch second",neutral
"aespa aespa fan watch time watch second",neutral
"whi whiplash",neutral
"let talk everi time keep say gonna better eta alway surpris us one best music video possibl legend could pull move",neutral
"okay aespa clap back hater",neutral
"love",neutral
"my come strm",neutral
"",neutral
"everyon know",neutral
"addict usual",neutral
"wow song mv perfect everyon shine incred bright",neutral
"comeback boldli introduc complet new concept alway stay fresh push boundari truli aespa year",neutral
"midzi support let get whiplash x gold",neutral
"haneul era fr",neutral
"concept fit aespa well beat cool gisel pink hair pretti love song sm",neutral
"might aespa best music video yet visual outfit everythinggg",neutral
"one look give whiplash",neutral
"someon tell differ hair part know pink hair gisel short black hair winter idk hair chang mv",neutral
"nsx tho",neutral
"limit edit shirt serv think qualiti photobook could improv got mine scratchlik small air bubbl cover visibl light scratch well somewhat affect overal appear photobook first page look like fall lot blotlik mark stapler area page",neutral
"everyon let strming spotifi harder youtub harder pleas",neutral
"deem stream corretament mv my e de stream na msica spotifi",neutral
"im love videoooo",neutral
"everi time someon like comment ill wathc",neutral
"ningn part addict",neutral
"masterpiec deserv much attent",neutral
"whip whip whiplash",neutral
"gisel leader free world",neutral
"whip whiplash",neutral
"coldest",neutral
"need perform video sm",neutral
"whiplash audio w musicbank",neutral
"classi",neutral
"one look givem whiplash",neutral
"cant touch",neutral
"whiplash audio w musicbank",neutral
"get su metallica",neutral
"cant get tire song",neutral
"thank women exist love",neutral
"love era song danc give psi vibe cant unse hope theyr challeng psi dope sure",neutral
"let go",neutral
"whiwhiplash",neutral
"comeback gisel era",neutral
"love vibe give smuch ate",neutral
"goodmon everyon",neutral
"favorit song",neutral
"aespa year releas supernova song year releas armageddon wait song year releas hot mess sigh what next releas whiplash hear song year",neutral
"wowthey beauti cool",neutral
"winter human ai doubt",neutral
"one look give em whiplash",neutral
"perfect song yeah yeah yeah",neutral
"next level drama armageddon whiplash gogogo",neutral
"awesom best aespa",neutral
"perfect song mv vocal visualal perfect",neutral
"definit gisel era slay pink hair",neutral
"spa histori longest chart melon supernova day geni bug vibe circl week youtub next level week",neutral
"today my come",neutral
"aespa bia ningn",neutral
"mystream aespa audio black mamba next level savag dream come true girl illus hold tight spici drama supernova armageddon whiplash",neutral
"gisel reveng ningn apart",neutral
"girl gener catch",neutral
"aespa whiplash whiplash titl ki flight feel pink hoodi flower anoth girl",neutral
"top music video",neutral
"blink love song",neutral
"aespa own year",neutral
"high fashion mv",neutral
"manifest rd win",neutral
"mother gisel pleas adopt",neutral
"sunday gone like wushhhh",neutral
"whipwhiplash",neutral
"yege semeyi tekledi",neutral
"capcut yazisini silmemisl aq",neutral
"sm mal",neutral
"tirnagim olamazlar",neutral
"ok rrrrrrrock",neutral
"vamo por my let",neutral
"sound like diss track hybe",neutral
"im deobi im whiplash challeng gisel sunwoo",neutral
"aespa group year",neutral
"let go my need continu",neutral
"pleaseeee vot x aespa whiplash let get win aespa work hard",neutral
"omg beat insan start end",neutral
"repeat hot gisel top",neutral
"first reaction",neutral
"visual vocal danc sing rap love theemmm",neutral
"song fire aespa",neutral
"winter feel like drop final fantasi univers aftet hang nocti waht",neutral
"im coldest",neutral
"drama almost spotifi let go my",neutral
"my next level supernova armageddon whiplash black mamba spici",neutral
"faitin my est vamo hold de mongmong",neutral
"song would definit play catwalk",neutral
"one look giveem whiplash",neutral
"happi my road soon",neutral
"whip whiplash one look giveem whiplash",neutral
"song becom top spotifi wrap lmaooo im obsess",neutral
"cant wait godspa sweep award year",neutral
"icon gisel realli catch attent",neutral
"stram harder spotifi appl music whiplash banger",neutral
"aespa whiplash rank nd place spotifi global weekli chart stram",neutral
"godspa alway give us hit hit",neutral
"happi my let push faster",neutral
"love icon fall go histori",neutral
"im new aespa someon tell know karina",neutral
"toca uma pra gay",neutral
"choru use jyp style accent interest",neutral
"lmao thought",neutral
"first listen song think like song im addict song aespa song alway effect",neutral
"winterr",neutral
"take test whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash one look give em whiplash",neutral
"million viw pleas",neutral
"bro aespa mv alway fire",neutral
"realli get month",neutral
"mighti aespa",neutral
"thought black mamba wickedbut whiplash wickederrr",neutral
"tell jenni thank beyonc",neutral
"love gisel new hairstyleso hot",neutral
"winter",neutral
"ningn beauti",neutral
"favorit music",neutral
"club classic",neutral
"yeeeessss song fire servedddddd",neutral
"remind charli xcx odd reason",neutral
"song much aespa cri",neutral
"gisel realli ate bright comeback",neutral
"whiplash",neutral
"cant touch",neutral
"give bell deserv attent keep back ditch diamond format",neutral
"vibe ningn voic litt",neutral
"song catchi love aespa style look like spicyarmageddonhot messsupernova love",neutral
"one look give em whiplaash",neutral
"kpop like",neutral
"one look give whiplash",neutral
"better song",neutral
"song power",neutral
"whip whiplash",neutral
"forget brat summer whiplash winter",neutral
